tweet_id, created_at, retweet_count, favorite_count
816816676327063552,2017-01-05 01:20:46+00:00,1926,9655
816697700272001025,2017-01-04 17:27:59+00:00,2085,9427
816450570814898180,2017-01-04 01:05:59+00:00,7629,29224
816336735214911488,2017-01-03 17:33:39+00:00,1846,8304
816091915477250048,2017-01-03 01:20:49+00:00,2023,8627
816062466425819140,2017-01-02 23:23:48+00:00,964,0
816014286006976512,2017-01-02 20:12:21+00:00,4985,0
815990720817401858,2017-01-02 18:38:42+00:00,964,4770
815966073409433600,2017-01-02 17:00:46+00:00,8034,21554
815745968457060357,2017-01-02 02:26:09+00:00,3939,0
815736392542261248,2017-01-02 01:48:06+00:00,2162,9489
815639385530101762,2017-01-01 19:22:38+00:00,1575,7948
815390420867969024,2017-01-01 02:53:20+00:00,3637,9999
814986499976527872,2016-12-31 00:08:17+00:00,1209,7381
814638523311648768,2016-12-30 01:05:33+00:00,2570,10895
814578408554463233,2016-12-29 21:06:41+00:00,5569,0
814530161257443328,2016-12-29 17:54:58+00:00,1765,8338
814153002265309185,2016-12-28 16:56:16+00:00,8246,27742
813944609378369540,2016-12-28 03:08:11+00:00,3027,0
813910438903693312,2016-12-28 00:52:25+00:00,1771,9006
813812741911748608,2016-12-27 18:24:12+00:00,13298,35189
813800681631023104,2016-12-27 17:36:16+00:00,1680,8032
813217897535406080,2016-12-26 03:00:30+00:00,6964,17982
813202720496779264,2016-12-26 02:00:11+00:00,1739,8935
813187593374461952,2016-12-26 01:00:05+00:00,4140,19190
813172488309972993,2016-12-26 00:00:03+00:00,1843,8971
813157409116065792,2016-12-25 23:00:08+00:00,2100,7506
813142292504645637,2016-12-25 22:00:04+00:00,2289,8226
813130366689148928,2016-12-25 21:12:41+00:00,427,4343
813127251579564032,2016-12-25 21:00:18+00:00,2969,11419
813112105746448384,2016-12-25 20:00:07+00:00,2609,9967
813096984823349248,2016-12-25 19:00:02+00:00,3462,10219
813081950185472002,2016-12-25 18:00:17+00:00,2655,9580
813066809284972545,2016-12-25 17:00:08+00:00,1869,7683
813051746834595840,2016-12-25 16:00:16+00:00,7007,20276
812781120811126785,2016-12-24 22:04:54+00:00,1816,7285
812709060537683968,2016-12-24 17:18:34+00:00,1376,6406
812503143955202048,2016-12-24 03:40:19+00:00,1171,5857
812466873996607488,2016-12-24 01:16:12+00:00,1829,7713
812372279581671427,2016-12-23 19:00:19+00:00,3499,13168
811985624773361665,2016-12-22 17:23:53+00:00,1336,7030
811744202451197953,2016-12-22 01:24:33+00:00,1518,7303
811647686436880384,2016-12-21 19:01:02+00:00,704,5415
811627233043480576,2016-12-21 17:39:46+00:00,2923,12303
811386762094317568,2016-12-21 01:44:13+00:00,6093,20223
810984652412424192,2016-12-19 23:06:23+00:00,1361,5144
810896069567610880,2016-12-19 17:14:23+00:00,1675,8700
810657578271330305,2016-12-19 01:26:42+00:00,2519,10604
810284430598270976,2016-12-18 00:43:57+00:00,10716,33982
810254108431155201,2016-12-17 22:43:27+00:00,3230,14220
809920764300447744,2016-12-17 00:38:52+00:00,3767,15056
809808892968534016,2016-12-16 17:14:20+00:00,4677,0
809448704142938112,2016-12-15 17:23:04+00:00,1400,6730
809220051211603969,2016-12-15 02:14:29+00:00,5348,19236
809084759137812480,2016-12-14 17:16:53+00:00,3374,12785
808838249661788160,2016-12-14 00:57:20+00:00,2915,9818
808733504066486276,2016-12-13 18:01:07+00:00,2069,7648
808501579447930884,2016-12-13 02:39:32+00:00,2488,10964
808344865868283904,2016-12-12 16:16:49+00:00,19860,40961
808134635716833280,2016-12-12 02:21:26+00:00,5630,0
808106460588765185,2016-12-12 00:29:28+00:00,2111,8547
808001312164028416,2016-12-11 17:31:39+00:00,3370,12103
807621403335917568,2016-12-10 16:22:02+00:00,3459,14110
807106840509214720,2016-12-09 06:17:20+00:00,52776,113863
807059379405148160,2016-12-09 03:08:45+00:00,7016,0
807010152071229440,2016-12-08 23:53:08+00:00,3706,12721
806629075125202948,2016-12-07 22:38:52+00:00,33041,71962
806620845233815552,2016-12-07 22:06:10+00:00,5256,0
806576416489959424,2016-12-07 19:09:37+00:00,1868,4736
806542213899489280,2016-12-07 16:53:43+00:00,2262,9887
806242860592926720,2016-12-06 21:04:11+00:00,11106,0
806219024703037440,2016-12-06 19:29:28+00:00,1156,6256
805958939288408065,2016-12-06 02:15:59+00:00,5120,0
805932879469572096,2016-12-06 00:32:26+00:00,1845,8043
805826884734976000,2016-12-05 17:31:15+00:00,1745,6360
805823200554876929,2016-12-05 17:16:37+00:00,7642,0
805520635690676224,2016-12-04 21:14:20+00:00,1587,5578
805487436403003392,2016-12-04 19:02:24+00:00,2424,8514
805207613751304193,2016-12-04 00:30:29+00:00,1655,7607
804738756058218496,2016-12-02 17:27:25+00:00,3663,13227
804475857670639616,2016-12-02 00:02:45+00:00,1934,5955
804413760345620481,2016-12-01 19:56:00+00:00,3077,0
804026241225523202,2016-11-30 18:16:08+00:00,15368,42893
803773340896923648,2016-11-30 01:31:12+00:00,2621,9732
803692223237865472,2016-11-29 20:08:52+00:00,7093,0
803638050916102144,2016-11-29 16:33:36+00:00,3966,10581
803380650405482500,2016-11-28 23:30:47+00:00,1799,7519
803321560782307329,2016-11-28 19:35:59+00:00,5062,0
803276597545603072,2016-11-28 16:37:19+00:00,2341,9715
802952499103731712,2016-11-27 19:09:28+00:00,1915,8747
802624713319034886,2016-11-26 21:26:58+00:00,2784,0
802600418706604034,2016-11-26 19:50:26+00:00,1403,6891
802572683846291456,2016-11-26 18:00:13+00:00,2414,8686
802323869084381190,2016-11-26 01:31:31+00:00,5604,15659
802265048156610565,2016-11-25 21:37:47+00:00,1321,6730
802239329049477120,2016-11-25 19:55:35+00:00,2516,8821
802185808107208704,2016-11-25 16:22:55+00:00,262,0
801958328846974976,2016-11-25 01:18:59+00:00,1627,7504
801854953262350336,2016-11-24 18:28:13+00:00,225,1753
801538201127157760,2016-11-23 21:29:33+00:00,1995,7971
801285448605831168,2016-11-23 04:45:12+00:00,786,5858
801167903437357056,2016-11-22 20:58:07+00:00,5630,23612
801127390143516673,2016-11-22 18:17:08+00:00,3783,0
801115127852503040,2016-11-22 17:28:25+00:00,2011,7825
800859414831898624,2016-11-22 00:32:18+00:00,93,658
800855607700029440,2016-11-22 00:17:10+00:00,1539,0
800751577355128832,2016-11-21 17:23:47+00:00,2682,10270
800513324630806528,2016-11-21 01:37:04+00:00,2876,12747
800459316964663297,2016-11-20 22:02:27+00:00,2095,9212
800443802682937345,2016-11-20 21:00:48+00:00,4118,0
800388270626521089,2016-11-20 17:20:08+00:00,2671,10806
800188575492947969,2016-11-20 04:06:37+00:00,3778,0
800141422401830912,2016-11-20 00:59:15+00:00,2440,14787
800018252395122689,2016-11-19 16:49:49+00:00,12571,27404
799774291445383169,2016-11-19 00:40:24+00:00,4465,0
799757965289017345,2016-11-18 23:35:32+00:00,2050,8126
799422933579902976,2016-11-18 01:24:14+00:00,1832,7814
799308762079035393,2016-11-17 17:50:33+00:00,5198,0
799297110730567681,2016-11-17 17:04:16+00:00,2624,9557
799063482566066176,2016-11-17 01:35:54+00:00,2384,7829
798933969379225600,2016-11-16 17:01:16+00:00,4264,12653
798925684722855936,2016-11-16 16:28:21+00:00,1385,7289
798705661114773508,2016-11-16 01:54:03+00:00,6356,0
798701998996647937,2016-11-16 01:39:30+00:00,7404,0
798697898615730177,2016-11-16 01:23:12+00:00,6225,0
798694562394996736,2016-11-16 01:09:57+00:00,4750,0
798686750113755136,2016-11-16 00:38:54+00:00,2228,0
798682547630837760,2016-11-16 00:22:12+00:00,4535,0
798673117451325440,2016-11-15 23:44:44+00:00,5336,0
798665375516884993,2016-11-15 23:13:58+00:00,3752,0
798644042770751489,2016-11-15 21:49:12+00:00,1775,0
798628517273620480,2016-11-15 20:47:30+00:00,1892,0
798585098161549313,2016-11-15 17:54:59+00:00,5406,0
798576900688019456,2016-11-15 17:22:24+00:00,5593,0
798340744599797760,2016-11-15 01:44:00+00:00,3201,0
798209839306514432,2016-11-14 17:03:50+00:00,2463,10102
797971864723324932,2016-11-14 01:18:12+00:00,2966,11203
797545162159308800,2016-11-12 21:02:38+00:00,4691,14119
797236660651966464,2016-11-12 00:36:46+00:00,6285,19297
797165961484890113,2016-11-11 19:55:50+00:00,25,218
796904159865868288,2016-11-11 02:35:32+00:00,8553,0
796865951799083009,2016-11-11 00:03:42+00:00,1865,7453
796759840936919040,2016-11-10 17:02:03+00:00,2906,11423
796563435802726400,2016-11-10 04:01:37+00:00,6911,0
796484825502875648,2016-11-09 22:49:15+00:00,1680,7323
796387464403357696,2016-11-09 16:22:22+00:00,3980,10658
796177847564038144,2016-11-09 02:29:25+00:00,13655,0
796149749086875649,2016-11-09 00:37:46+00:00,13655,31131
